time,S,I,R,beta_t
0,99999,1,0,0.5028424103116065
1,99998.45252333551,1.1847098545671075,0.36276680995021043,0.5028275100057662
2,99997.80496789327,1.403491125950851,0.7915409807955494,0.5027828135035274
3,99997.0389371731,1.6625701885376196,1.2984926384007092,0.5027083340494283
4,99996.13269769566,1.969290467214098,1.8980118371581325,0.5026040937133387
5,99995.0605918932,2.3323055864206257,2.6071025203960017,0.5024701233839197
6,99993.79232899693,2.761811760255933,3.4458592428256947,0.5023064627594714
7,99992.29218936512,3.2698074212964543,4.438003213580047,0.5021131603361688
8,99990.51806719248,3.870404327213356,5.611528480326536,0.5018902733936919
9,99988.42036239631,4.580185954816674,6.999451648886691,0.5016378679782516
10,99985.94069434419,5.418621550386568,8.64068410544949,0.5013560188830204
11,99983.01038369631,6.4085521246987485,10.581064179025336,0.5010448096259678
12,99979.54871410092,7.576743934313288,12.874541964783148,0.5007043324251128
13,99975.46089619576,8.954532738355107,15.584571065911222,0.5003346881711985
14,99970.63570861008,10.578565506739883,18.785725883203792,0.49993598639779496
15,99964.94277270074,12.491651168327802,22.565576130939753,0.49950834524884213
16,99958.22940130564,14.74373691206179,27.026861782308863,0.4990518914436417
17,99950.3169663277,17.39302418926161,32.29000948305213,0.4985667602393073
18,99940.99672031376,20.50724076469934,38.4960389215422,0.49805309539068465
19,99930.02500061737,24.165086077828438,45.80991330480125,0.49751104910775446
20,99917.11773985178,28.45786722290698,54.42439292531041,0.4969407820105283
21,99901.94420003789,33.49134301333544,64.56445694876645,0.49634246308145485
22,99884.11984338959,39.38779267918575,76.49236393120769,0.4957162696153452
23,99863.1982508903,46.28832359207076,90.51342551761874,0.49506238716683804
24,99838.66199177226,54.355430215782384,106.98257801194124,0.4943810094954146
25,99809.91236658893,63.77580833556225,126.31182507547695,0.49367233850798425
26,99776.25793390113,74.76342391463068,148.97864218423095,0.49293658419905506
27,99736.90175797217,87.56282262638706,175.53541940142628,0.4921739645885076
28,99690.92733177384,102.45265097373033,206.62001725241223,0.49138470565699105
29,99637.28316735617,119.74933868626222,242.9674939575651,0.49056904127896056
30,99574.76609338107,139.81086407585858,285.42304254307896,0.4897272131533748
31,99502.00336828924,163.04048752381703,334.95614418694646,0.4888594707320755
32,99417.4338049558,189.8902945766993,392.67590046750036,0.48796607114586943
33,99319.28823011482,220.86432946748704,459.8474404176927,0.4870472791283352
34,99205.56974968748,256.52103156247904,537.909218750033,0.48610336693737677
35,99074.03448572874,297.47460210857304,628.490912162675,0.4851346142745476
36,98922.17368478331,344.39483533766696,733.4314798790151,0.4841413082021691
37,98747.19837983833,398.00483572576644,854.7967844358867,0.48312374305826783
38,98546.02811433718,459.0759282356498,994.8959574271499,0.4820822203693567
39,98315.28559754953,528.418953901794,1156.295448548652,0.48101704876108636
40,98051.29954752495,606.8710408060621,1341.829411668967,0.47992854386679273
41,97750.11835845519,695.2768714387059,1554.6047701060875,0.4788170282339677
42,97407.53756476841,794.4634570857504,1797.9989781458137,0.4776828312286818
43,97019.14430500497,905.2075125352643,2075.6481824597413,0.4765262889379857
44,96580.38203530436,1028.1947413058658,2391.4232233897465,0.47534774407032043
45,96086.63850849503,1163.9707377254056,2749.3907537795367,0.4741475458539651
46,95533.35941063063,1312.883830400063,3153.75675896928,0.47292604993355397
47,94916.18892293189,1475.0210622993986,3608.790014768671,0.47168361826469
48,94231.1367650639,1650.139629338337,4118.72360559773,0.47042061900669074
49,93474.76893767348,1837.5974408235181,4687.633621502963,0.46913742641349404
50,92644.41646767141,2036.287917055958,5319.295615272585,0.4678344207227588
51,91738.39314136161,2244.585522180933,6017.02133645741,0.46651198804319227
52,90756.21000007958,2460.3094834817025,6783.480516438671,0.46517052024013805
53,89698.77028044031,2680.7141809656446,7620.515538594006,0.46381041481945723
54,88568.5287930469,2902.512721767359,8528.9584851857,0.4624320748097396
55,87369.59680544962,3121.9401572443903,9508.46303730597,0.46103590864287686
56,86107.7764236617,3334.858586402744,10557.364989935528,0.45962233003303615
57,84790.51237792958,3536.9027815974396,11672.584840472939,0.45819175785406707
58,83426.7552171076,3723.659650648614,12849.585132243752,0.45674461601538047
59,82026.73817811566,3890.8701622667013,14082.391659617599,0.4552813333363351
60,80601.67813495587,4034.638316256417,15363.683548787658,0.4538023434191688
61,79163.41928580272,4151.629379311781,16684.95133488544,0.45230808452051346
62,77724.0440397325,4239.2396244348965,18036.716335832545,0.4507989994215295
63,76295.47872649893,4295.722276046042,19408.798997454975,0.4492755352967002
64,74889.12142195254,4320.258997430448,20790.61958061697,0.4477381435813252
65,73515.51570686136,4312.97227400171,22171.512019136888,0.4461872798377492
66,72184.08819697311,4274.880444043785,23541.031358983062,0.4446234036203696
67,70902.96032831327,4207.802862923221,24889.23680876347,0.44304697833946116
68,69678.8373240494,4114.226944114531,26206.935731836023,0.44145847112385644
69,68516.970556053755,3997.1511422615376,27485.87830168466,0.4398583526825263
70,67421.18435708307,3859.918281620186,28718.89736129671,0.43824709716509835
71,66393.9550686623,3706.0522793561868,29899.99265198149,0.436625182021356
72,65436.528697024834,3539.108776949752,31024.362526025383,0.43499308785976026
73,64549.06370966727,3362.5470551026788,32088.389235230014,0.43335129830503455
74,63730.7868129898,3179.627399140222,33089.585787869946,0.43170029985485675
75,62980.151560174134,2993.3352047191647,34026.51323510667,0.43004058173569926
76,62294.9919430848,2806.3307940032028,34898.67726291196,0.42837263575786017
77,61672.665237148365,2620.9224280950502,35706.41233475655,0.42669695616973
78,61110.18085220981,2439.0587140275,36450.76043376266,0.425014039511335
79,60604.31311917579,2262.336564904709,37133.350315919466,0.42332438446720116
80,60151.69739173848,2092.0207010019867,37756.281907259494,0.42162849171858396
81,59748.91015896744,1929.0710346345074,38322.01880639801,0.41992686379510513
82,59392.53412802127,1774.1748045403883,38833.29106743829,0.4182200049258425
83,59079.20970064409,1627.7809185180313,39293.00938083782,0.416508420889916
84,58805.674605154374,1490.1343579600161,39704.19103688555,0.41479261886661467
85,58568.79320521256,1361.309504378731,40069.897290408655,0.41307310728510804
86,58365.5772085446,1241.24108447172,40393.181706983625,0.41135039567378756
87,58193.19922338672,1129.7523193967359,40677.048457216486,0.4096249945092831
88,58049.00057487214,1026.57984203232,40924.419583095485,0.4078974150651967
89,57930.49448337222,931.3954060201748,41138.11011060755,0.406168169260602
90,57835.36565919281,843.8244353795625,41320.80990542758,0.40443776950835103
91,57761.467127675605,763.461596940439,41475.0712753839,0.4027067285632355
92,57706.81503153827,689.8836577413516,41603.301310720315,0.4009755593700464
93,57669.581947027276,622.6599199791065,41707.758132993564,0.3992447749115773
94,57648.089210374885,561.360529170665,41790.550260454394,0.3975148880566166
95,57640.798636742256,505.5629517624738,41853.63841149521,0.3957864114079735
96,57646.303897804966,454.85689435211196,41898.83920784285,0.39405985715058256
97,57663.3218012571,408.847918970965,41927.83027977187,0.39233573689973233
98,57690.68364405136,367.15997775831806,41942.15637819025,0.3906145615494627
99,57727.32677701368,329.4370792057656,41943.23614378049,0.388896841121176
100,57772.286452418586,295.344230024585,41932.36931755677,0.38718308461250656
101,57824.68804358593,264.5678267439831,41910.74412967002,0.3854737998464937
102,57883.73966442252,236.81560489726363,41879.444730680145,0.3837694933211031
103,57948.72522060114,211.81625878955384,41839.45852060924,0.3820706700591402
104,58018.9978996144,189.31881001800016,41791.68329036754,0.38037783345860093
105,58093.97409964746,169.09179599899923,41736.93410435349,0.37869148514350465
106,58173.12779398961,150.92233659294288,41675.94986941739,0.3770121248152514
107,58255.98531511647,134.61512225104264,41609.39956263242,0.37534025010455
108,58342.12054349694,119.9913600352097,41537.88809646778,0.37367635642395935
109,58431.15048096427,106.8877048530274,41461.96181418264,0.37202093682108667
110,58522.7311877265,95.15519718680423,41382.11361508663,0.3703744818324871
111,58616.554061269795,84.6582233526178,41298.787715377526,0.36873747933830736
112,58712.34243476383,75.2735098646014,41212.384055371505,0.36711041441771575
113,58809.84847307362,66.88916019077742,41123.26236673553,0.36549376920516324
114,58908.85034478916,59.40373935897706,41031.745915851796,0.3638880227475163
115,59009.14964944072,52.72540990126057,40938.124940657966,0.36229365086210524
116,59110.569080359644,46.77112047106981,40842.659799169225,0.3607111259957291
117,59212.95030404686,41.46584779748377,40745.583848155584,0.3591409170846594
118,59316.152037965636,36.74189140461541,40647.106070629685,0.3575834894156844
119,59420.04831067506,32.538219513988686,40547.41346981088,0.35603930448823445
120,59524.52688847564,28.799864454828317,40446.67324706946,0.35450881987762983
121,59629.487854030966,25.477365350152642,40345.034780618815,0.35299248909949116
122,59734.84232354523,22.526255626840893,40242.63142082787,0.35149076147535313
123,59840.51129008961,19.906592788830864,40139.5821171215,0.35000408199952077
124,59946.42458160291,17.58252781684179,40035.99289058019,0.3485328912072079
125,60052.519923024964,15.521911568545084,39931.95816540644,0.3470776250439971
126,60158.74209287774,13.695935593675305,39827.56197152853,0.3456387147366598
127,60265.042165415376,12.078804853291619,39722.87902973127,0.34421658666537436
128,60371.37683021981,10.647439930775242,39617.975729849364,0.34281166223738024
129,60477.707781818455,9.381206434137642,39512.91101174736,0.34142435776210633
130,60584.00117255128,8.261669411458628,39407.73715803721,0.340055084327809
131,60690.22712251552,7.272370728324934,39302.50050675611,0.3387042476797582
132,60796.35928097163,6.398627484907409,39197.24209154342,0.3373722481000063
133,60902.37443410516,5.627349678343043,39091.99821621647,0.3360594802887756
134,61008.2521545091,4.946875441398588,38986.80097004947,0.3347663332475004
135,61113.97448818245,4.34682230970376,38881.678689507804,0.3334931901635574
136,61219.525675235825,3.8179530861895357,38776.65637167795,0.3322404282967192
137,61324.89190085629,3.352054982129606,38671.75604416154,0.3310084188673636
138,61430.06107341407,2.9418308189897555,38566.9970957669,0.3297975269464735
139,61535.02262689476,2.5808011739509356,38462.39657193125,0.32860811134745826
140,61639.767345115426,2.2632164444468796,38357.96943844009,0.32744052451982963
141,61744.287205432964,1.9839778934118621,38253.72881667358,0.32629511244476317
142,61848.575239880214,1.7385668173136912,38149.68619330243,0.3251722145325768
143,61952.62541187186,1.5229810536534611,38045.85160707445,0.3240721635221558
144,62056.432506809106,1.3336781136881342,37942.233815077154,0.32299528538235583
145,62159.992035082396,1.167524289941522,37838.84044062762,0.32194189921541055
146,62263.300146124304,1.0217491468955389,37735.67810472876,0.3209123171623752
147,62366.35355230441,0.8939048573855289,37632.75254283818,0.31990684431063227
148,62469.149461583154,0.7818298969506634,37530.068708519866,0.3189257786034877
149,62571.68551795505,0.6836166539988868,37427.63086539093,0.31796941075188345
150,62673.95974881388,0.5975825554145465,37325.44266863067,0.31703802414825427
151,62775.970518464776,0.5222443454352284,37223.50723718976,0.31613189478255166
152,62877.71648709047,0.4562951905108465,37121.82721771899,0.31525129116046263
153,62979.19657455424,0.39858431467901334,37020.40484113105,0.3143964742238453
154,63080.409928488356,0.3480988989796431,36919.24197261263,0.3135676972734065
155,63181.35589617743,0.30394800480906214,36818.34015581772,0.3127652058936431
156,63282.03399979967,0.2653483050869386,36717.700651895204,0.31198923788007016
157,63382.44391463744,0.231611428872455,36617.32447393365,0.3112400231687568
158,63482.58544991181,0.20213274480104224,36517.21241734336,0.3105177837681914
159,63582.458531934244,0.17638142658908013,36417.36508663913,0.30982273369349544
160,63682.063189303364,0.15389166002888538,36317.782919036574,0.30915507890300664
161,63781.399539905186,0.13425486551637228,36218.46620522927,0.3085150172372485
162,63880.467779503226,0.11711282335458494,36119.4151076734,0.30790273836030624
163,63979.26817172888,0.10215160098326091,36020.62967667011,0.3073184237036252
164,64077.80103930463,0.0890961920134887,35922.10986450332,0.30676224641224864
165,64176.06675635189,0.07770578660409855,35823.85553786147,0.30623437129351133
166,64274.0657416526,0.06776960140091132,35725.866488745974,0.30573495476820334
167,64371.79845274898,0.05910320506163653,35628.14244404592,0.30526414482421954
168,64469.265380779594,0.0515452823908918,35530.68307393799,0.3048220809727072
169,64566.46704596154,0.04495478638741155,35433.48799925206,0.30440889420672596
170,64663.40399363985,0.03920843312846913,35336.556797927005,0.304024706962432
171,64760.07679083417,0.03419849944831006,35239.88901066637,0.3036696330827972
172,64856.486023221274,0.029830887865885128,35143.48414589084,0.30334377778387517
173,64952.63229249951,0.026023427235145117,35047.34168407324,0.30304723762362357
174,65048.51621408769,0.02270438117662988,34951.46108153111,0.30278010047329174
175,65144.13841511657,0.019811139469377934,34855.841773743945,0.3025424454913826
176,65239.499532677124,0.017289071032512714,34760.48317825183,0.3023343431001963
177,65334.60021229101,0.01509051752087899,34665.38469719146,0.30215585496496256
178,65429.4411065816,0.01317391458797713,34570.5457195038,0.302007033975568
179,65524.02287410581,0.01150301619748274,34475.965622877986,0.3018879242308835
180,65618.34617834684,0.010046222445684668,34381.64377543071,0.301798561025697
181,65712.41168683361,0.008775989364815643,34287.57953717702,0.30173897084025497
182,65806.22007037162,0.007668311246559135,34193.772261317135,0.3017091713324153
183,65899.77200237516,0.0067022692369064696,34100.2212953556,0.3017091713324153
184,65993.06815828603,0.0058596366893799,34006.925982077286,0.30173897084025497
185,66086.10921506779,0.0051245344122926645,33913.8856603978,0.301798561025697
186,66178.89585076617,0.00448312965054254,33821.09966610418,0.3018879242308835
187,66271.42874412678,0.003923373284894839,33728.56733249993,0.302007033975568
188,66363.70857426299,0.003434770493208161,33636.28799096652,0.30215585496496256
189,66455.7360203674,0.003008180668201901,33544.26097145193,0.3023343431001963
190,66547.51176146147,0.002635642907298145,33452.48560289562,0.3025424454913826
191,66639.03647617804,0.0023102238479005286,33360.961213598115,0.30278010047329174
192,66730.3108425728,0.0020258850193511715,33269.68713154219,0.30304723762362357
193,66821.33553796087,0.001777367235378435,33178.662684671894,0.30334377778387517
194,66912.11123877518,0.0015600898598145333,33087.88720113497,0.30366963308279715
195,67002.63862044379,0.0013700630496577286,32997.360009493175,0.304024706962432
196,67092.91835728388,0.001203811317734904,32907.08043890481,0.30440889420672596
197,67182.95112241009,0.0010583069660462041,32817.04781928296,0.30482208097270713
198,67272.7375876553,9.309121239323095e-4,32727.261481432608,0.30526414482421954
199,67362.27842350218,8.193281379045351e-4,32637.7207571697,0.30573495476820334
200,67451.57429902547,7.215523793098174e-4,32548.424979422176,0.3062343712935113
201,67540.6258818391,6.358383632943738e-4,32459.373482322542,0.3067622464122486
202,67629.43383805497,5.606639702519801e-4,32370.56560128106,0.30731842370362517
203,67717.99883224619,4.947028695993182e-4,32282.00067305096,0.30790273836030624
204,67806.32152741331,4.3679782118403695e-4,32193.678035788864,0.3085150172372485
205,67894.40258495838,3.859393648261392e-4,32105.597029102257,0.30915507890300664
206,67982.24266466193,3.4124681358013487e-4,32017.756994091265,0.30982273369349544
207,68069.8424246637,3.019516045537107e-4,31930.1572733847,0.3105177837681914
208,68157.20252144642,2.673828556198097e-4,31842.797211170724,0.3112400231687568
209,68244.32360982226,2.369547875615328e-4,31755.676153222958,0.31198923788007016
210,68331.2063429216,2.1015577798942902e-4,31668.79344692261,0.3127652058936431
211,68417.85137218401,1.8653883562429712e-4,31582.148441277135,0.3135676972734065
212,68504.25934735079,1.657133091525182e-4,31495.74048693589,0.3143964742238453
213,68590.43091645915,1.473376701839364e-4,31409.568936203166,0.31525129116046263
214,68676.3667258737,1.3111248395674714e-4,31323.633143013805,0.31613189478255166
215,68762.06742010172,1.1677870189354234e-4,31237.932463119545,0.31703802414825427
216,68847.53364210825,1.0410608105293124e-4,31152.466253785664,0.31796941075188345
217,68932.76603306962,9.289453751069513e-5,31067.233874035835,0.31892577860348764
218,69017.76523247927,8.296824477641379e-5,30982.23468455249,0.31990684431063227
219,69102.53187809231,7.417357200529805e-5,30897.468047734103,0.3209123171623752
220,69187.06660594839,6.637579898918303e-5,30812.933327675797,0.32194189921541055
221,69271.37005037272,5.9456757981014944e-5,30728.6298901705,0.32299528538235583
222,69355.44284397777,5.331275676070078e-5,30644.55710270946,0.3240721635221558
223,69439.28561766514,4.7852760351008604e-5,30560.714334482072,0.3251722145325767
224,69522.89900062796,4.29968065180581e-5,30477.10095637522,0.32629511244476317
225,69606.28362035332,3.867462336409133e-5,30393.716340972045,0.32744052451982963
226,69689.44010262523,3.4824422874152196e-5,30310.559862550344,0.32860811134745826
227,69772.36907152756,3.13918477343328e-5,30227.63089708058,0.32979752694647346
228,69855.07114944738,2.8329051660082756e-5,30144.928822223555,0.3310084188673635
229,69937.54695707827,2.55938960485753e-5,30062.45301732782,0.3322404282967191
230,70019.79717479488,2.3146128718484908e-5,29980.20280205899,0.33349319016355744
231,70101.82223923219,2.0962215475681487e-5,29898.1777398056,0.3347663332475003
232,70183.62299443042,1.9002091622275893e-5,29816.376986567495,0.3360594802887756
233,70265.19994497245,1.7245827701296088e-5,29734.800037781715,0.3373722481000063
234,70346.55370314121,1.567079609412768e-5,29653.446281187993,0.3387042476797582
235,70427.68487954876,1.4257012664064903e-5,29572.315106194226,0.340055084327809
236,70508.59408314043,1.2986818923162578e-5,29491.40590387275,0.3414243577621062
237,70589.281921199,1.184458960148378e-5,29410.718066956397,0.34281166223738024
238,70669.74899934894,1.0816489432092928e-5,29330.25098983456,0.3442165866653743
239,70749.99586168067,9.891296097657273e-6,29250.004128428023,0.3456387147366598
240,70830.02328512761,9.055112533586276e-6,29169.97670581728,0.34707762504399703
241,70909.83162750231,8.30234868528827e-6,29090.16836419533,0.3485328912072079
242,70989.42163967963,7.621804007644199e-6,29010.57835269857,0.3500040819995207
243,71068.7938956089,7.00634228459548e-6,28931.20609738473,0.35149076147535313
244,71147.94899105719,6.449221931764717e-6,28852.05100249358,0.35299248909949116
245,71226.88752015811,5.944435958914458e-6,28773.11247389745,0.35450881987762983
246,71305.61007542073,5.486640868178737e-6,28694.389919092617,0.3560393044882344
247,71384.1172477342,5.071074535725165e-6,28615.88274719471,0.3575834894156844
248,71462.40962637197,4.693490324518408e-6,28537.59036893452,0.35914091708465934
249,71540.48779899615,4.350098552386211e-6,28459.51219665373,0.3607111259957291
250,71618.35235166184,4.0375148279612515e-6,28381.64764430063,0.3622936508621052
251,71696.0038688214,3.7527144740871862e-6,28303.99612742588,0.36388802274751636
252,71773.44293332876,3.492992289378368e-6,28226.557063178232,0.3654937692051632
253,71850.67012644379,3.2559270025966914e-6,28149.32987030025,0.36711041441771575
254,71927.68602783658,3.0393498543703923e-6,28072.313969124047,0.3687374793383073
255,72004.49121559165,2.8413168106756744e-6,27995.508781566994,0.37037448183248717
256,72081.08626621241,2.6600839736810928e-6,27918.913731127483,0.3720209368210866
257,72157.47175462525,2.4940858090018754e-6,27842.52824288064,0.37367635642395935
258,72233.64825418398,2.3419158551327474e-6,27766.351743474086,0.37534025010454997
259,72309.61633667398,2.2023096216855077e-6,27690.383661123677,0.3770121248152514
260,72385.37657231659,2.074129418801187e-6,27614.623425609258,0.3786914851435046
261,72460.9295297732,1.956350891388738e-6,27539.070468270416,0.3803778334586009
262,72536.27577614965,1.848051059230886e-6,27463.724222002264,0.38207067005914014
263,72611.41587700036,1.7483976879876394e-6,27388.5841212512,0.38376949332110316
264,72686.35039633261,1.6566398371497437e-6,27313.649602010708,0.3854737998464937
265,72761.07989661071,1.5720994494233612e-6,27238.92010181714,0.38718308461250656
266,72835.60493876025,1.494163862190428e-6,27164.39505974552,0.38889684112117595
267,72909.9260821723,1.4222791358715725e-6,27090.073916405356,0.3906145615494627
268,72984.04388470754,1.355944106468636e-6,27015.95611393646,0.3923357368997322
269,73057.95890270047,1.2947050804985596e-6,26942.041096004778,0.3940598571505825
270,73131.67169096357,1.2381511001387554e-6,26868.328307798227,0.3957864114079735
271,73205.1828027915,1.18590971485117e-6,26794.817196022555,0.39751488805661656
272,73278.49278996514,1.1376432031821907e-6,26721.507208897172,0.3992447749115773
273,73351.60220275585,1.0930451949741743e-6,26648.397796151065,0.4009755593700464
274,73424.51158992948,1.0518376499817433e-6,26575.488409018628,0.4027067285632355
275,73497.22149875057,1.013768153958127e-6,26502.7785002356,0.40443776950835103
